,Filename,Questions,Interviewerin,Arzt
0,10_Großveranstaltungen absagen.pdf,"Warum müssen es 1000 Menschen sein? Warum können es nicht 800 Menschen sein? Wenn Sie das hören? Da erreicht uns die Frage, ob und wie sinnvoll eigentlich eine Pneumokokkenimpfung jetzt noch wäre?Was ist mit einer schnellen Impfung gegen die Influenza, also die gegen die Grippe? Ist das dann ein ganz besonders schwerer Verlauf? Was kann da passieren? Wie kommen Sie auf diese Zahl?Das heißt, die Zahl zeigt eigentlich nur: Die Gruppe ist besonders gefährdet?",ANJA MARTINI,CHRISTIAN DROSTEN
1,11_Wir müssen jetzt gezielt handeln.pdf,"Was wäre es? Die Frage war: Ist es noch sinnvoll, sich jetzt gegen Grippe impfen zu lassen? Woran liegt das? Wie gehen wir damit um? Müssen wir noch über Corona informieren?",ANJA MARTINI,CHRISTIAN DROSTEN
2,12_Schulen schließen und Gemeinden unterstützen.pdf,"Herr Drosten, ist das Einreiseverbot die richtige Entscheidung von US Präsident Trumps, um sein Land zu schützen? Ist es der richtige Weg oder ist es ein bisschen übertrieben? Würden Sie sagen: Schulschließungen - ja? Aber wie lösen wir jetzt das Problem? In der aktuellen Situation, würden Sie sagen: Bleibt besser zu Hause? Oder: Macht nichts, geht raus? Wenn wir aber aufs Land gehen und auf die kleinen Kliniken schauen: Wie sind die ausgestattet?",ANJA MARTINI,CHRISTIAN DROSTEN
3,13_Natürlich kann man noch einkaufen gehen.pdf,"Die machen sich jetzt Gedanken: Wie schütze ich mich? Als Virologe, was haben Sie da für eine Idee? Wie ist Ihr Empfinden dieser Woche? Haben Sie sich ein bisschen unwohl gefühlt, oder haben Sie gesagt, jetzt steht wieder die Wissenschaft an erster Stelle? Oder wie war Ihr Eindruck dieser Woche?",ANJA MARTINI,CHRISTIAN DROSTEN
4,14_Vorsicht vor Vereinfachungen.pdf,"Hat es geklappt? Ist da was dran? Aber was bedeutet das, zu Hause? Dürfen die noch raus zum Einkaufen? Dürfen die noch spazieren gehen oder nicht? Was heißt das, zu Hause bleiben? Dürfen die noch vor die Tür einkaufen oder nicht? Wenn Sie auf diese Woche schauen, was werden die Hauptaufgaben in Ihrem Labor sein?",ANJA MARTINI,CHRISTIAN DROSTEN
5,15_Infizierte werden offenbar immun.pdf,"Wie gut funktioniert das bei Ihrem Team in der Virologie und deren Familien? Es gibt Neuigkeiten in der Frage, wann ist man immun gegen den Erreger? Stimmt Sie das hoffnungsfroh, oder haben wir das noch mit Vorsicht zu genießen?Korinna Hennig Warum wissen wir eigentlich so wenig über genesene Patienten? Aber wir wissen sehr wenig darüber, wann sind Patienten wieder genesen? Und genau diese mittelfristige Beobachtung, wie geht es denen dann weiter? Woran liegt das?Korinna Hennig Korinna Hennig Wissen Sie von dieser Münchner Kohorte, ob diese Patienten eigentlich mittlerweile alle entlassen sind? Das sind aber oft auch ganz konkrete, persönliche Fragen: Was ist mit der 90-jährigen Schwiegermutter? Wann kann ich wieder meinen Urlaub planen? Wie viele Freunde dürfen meine Kinder jetzt noch sehen? Diese Hoffnung machenden Indizien, sag ich jetzt mal, dass es tatsächlich eine richtig belastbare Immunantwort des Körpers gibt, hat das auch Auswirkungen auf die Hoffnung auf einen Impfstoff? Was machen denn die nachweisbaren Antikörper, die nicht neutralisierend sind? Aber wenn wir jetzt auf Herbst, Winter gucken, ist das dann denkbar, dass man so was tatsächlich ein bisschen mehr zum Einsatz bringen kann für Klinikpersonal, vielleicht auch für besonders gefährdete Patienten? Das wäre denkbar? Nun fragen unsere Hörer immer mehr danach, kann man nicht improvisieren und für sich selbst für den Hausgebrauch einfache Masken nähen? Zum Beispiel für den Einkauf im Supermarkt, ist das völlig abwegig? Und auch andersherum, wenn mir jemand gegenübersteht und mich anhustet?",KORINNA HENNIG,CHRISTIAN DROSTEN
6,16_Wir brauchen Abkürzungen bei der Impfstoffzulassung.pdf,"Eine der meistgestellten Hörerfragen ist mittlerweile die: Was sagt Professor Drosten dazu? Was ist denn anders? Gezielt auf die Todesfälle bezogen: Wenn Kritiker sagen, Todesfälle bleiben eigentlich in der Statistik verborgen, das haben Sie auch schon mal angedeutet, weil alte Menschen streng genommen sowieso an irgendeiner Ursache dann sterben Œ warum ist das hier anders, vielleicht mit Blick auf Italien gefragt? Sind wir in Italien schon in dem Bereich dieser Übersterblichkeit? Also mehr Tote, als die normale Statistik das mit verschiedenen Todesursachen ohnehin hergibt? Wie häufig kommt denn da aber auch ein schwerer Verlauf ohnehin schon vor, nur kurz zur wissenschaftlichen Erklärung? Können Sie uns kurz erläutern, wie Sie den PCR-Test damals etabliert haben und wer da drauf geguckt hat, laienhaft gesagt? Wie beurteilen Sie und Ihre Kollegen diese Rechnung?Korinna Hennig  Also minimales Halskratzen? Inwieweit halten Sie denn das im Ganzen gesehen Œ das ist natürlich schwer, das zu verallgemeinern, aber trotzdem vielleicht von oben drauf geguckt Œ für übertragbar auf Deutschland? Das ist ein ganz wichtiger Punkt, weil viele unserer Hörer uns genau so ein Szenario mit aller Vorsicht auch gemailt haben, und gefragt haben: Wäre das denn aber nicht eigentlich sinnvoll, die älteren Patienten komplett zu isolieren und die anderen währenddessen eine Herdenimmunität entwickeln zu lassen?",KORINNA HENNIG,CHRISTIAN DROSTEN
7,17_Malaria-Medikament vorerst kein Hoffnungsträger.pdf,"Bringt so was was? Das haben wir aus unseren Mails erfahren, und zwar sind es die Heute im Labor, was für Fragen werden da heute wahrscheinlich auf Sie zukommen? Glauben Sie, dass die Labore mittlerweile an ihrer Leistungsgrenze angekommen sind? Oder könnten wir theoretisch gesehen noch mehr machen und noch mehr Tests machen?Also Geräte, Menschen.Also viele Veränderungen, auch in der Diagnostik sozusagen, in der Labordiagnostik, die dann noch auf uns zukommen könnten?",ANJA MARTINI,CHRISTIAN DROSTEN
8,18_Wirksamkeit von Ausgangssperren ist unklar.pdf,"Lassen Sie uns klarstellen, warum das keine Empfehlung von Ihnen war, Cortisonsprays jetzt einfach abzusetzen?Korinna Hennig Also eine plötzliche Verschlechterung? Warum, so fragen viele, gibt es in Deutschland so viel weniger Todesfälle bis jetzt durch SARS-CoV-2 als in anderen Ländern? Sind wir da wieder an dem Punkt, dass in anderen Ländern viel weniger leichte Fälle erfasst werden, weil weniger getestet wird und das einfach die Statistik verzerrt? Also wie viel Menschen landen mit der Erkrankung an Covid19 im Krankenhaus? Was wissen wir über die Fälle in Deutschland, die auf den Intensivstationen zum Beispiel liegen? Sind Sie da noch dabei? Können Sie das noch? Oder ist das Infektionsgeschehen in Deutschland mittlerweile schon viel zu groß?Also ist Italien längst nicht mehr die Hauptverkehrsstraße, auf der das Virus durch die vielen Urlauber nach Deutschland unterwegs ist?Haben Sie eine Vorstellung davon, auch das fragen uns viele, wann der Kipppunkt erreicht ist, dass Sie sagen, die Zahl der Fälle ist zu hoch, um noch Zuordnung machen zu können? Können Sie uns versuchen zu schildern, wie genau, mit welchen Methoden und Mitteln, solche Sequenzierung im Labor eigentlich abläuft? Wie viel wirklich klassische Reagenzglas-Tätigkeit passiert da noch? Wenn ich eine Immunität erworben habe, und davon gehen wir ja im Moment aus, dass das tatsächlich nach überstandener Erkrankung möglich ist, komme ich dann auch als Überträger nicht mehr infrage? Also kann ich das Virus nicht mehr übertragen? Gibt es dafür eine biologische Erklärung? Also die Frage, wenn sich jetzt einzelne Landkreise oder auch Städte für Ausgangssperren entscheiden, wie lange müsste man die überhaupt aufrechterhalten, damit sie eine Wirkung zur Eindämmung der Infektionsgeschehens zeigen? Ich sage mal stellvertretend für unsere Hörer, die in Familien leben, ich zum Beispiel habe drei Söhne und stehe jetzt auch vor der Frage: Wie machen wir das mit der Frischluft in diesen Zeiten?",KORINNA HENNIG,CHRISTIAN DROSTEN
9,19_Masken können andere schützen.pdf,"Wie haben Sie das Wochenende erlebt? Wie haben Sie es gesehen? Also die Frage: Wie lange habe ich Kontakt mit einem Infizierten? Ist diese Annahme, dass die Kontaktdauer eine wesentliche Rolle spielt, trotz allem noch haltbar? Wenn Sie im Lichte dessen all das noch mal betrachten, wie stehen Sie zu der Frage: Sollten wir nicht alle Masken tragen, um andere zu schützen?Korinna Hennig Es gibt ja auch immer wieder Berichte über Diebstähle aus Kliniken tatsächlich.Korinna Hennig Weil sie gar nicht erst fliegen sozusagen? Über die Frage, die dann auch immer wieder auftaucht, geht man eigentlich immer noch davon aus, dass Kinder weniger erkranken? Dass sie möglicherweise symptomlose Überträger sind, aber eigentlich nicht so betroffen sind von der Erkrankung? Ist die Erkenntnis nach wie vor belastbar?Korinna Hennig Also die dann für eine Herdenimmunität sorgen, 60, 70 Prozent.Korinna Hennig Gibt es dazu Studien? Wie geht es Ihnen damit? Kommen Sie damit klar?",KORINNA HENNIG,CHRISTIAN DROSTEN
